,facent,rotatingR,Laserdist,ConcaveC,ReflectingDist
113,16,4.0,-1.8000000000000003,15,11.700000000000012
114,16,4.0,-1.9000000000000004,15,12.700000000000014
115,16,4.0,-2.0000000000000004,15,13.300000000000011
116,16,4.0,-2.1000000000000005,15,12.90000000000001
117,16,4.0,-2.2000000000000006,15,11.800000000000011
118,16,4.0,-2.3000000000000007,15,10.800000000000008
119,16,4.0,-2.400000000000001,15,10.00000000000001
120,16,4.0,-2.500000000000001,15,9.20000000000001
121,16,4.5,-1.5,15,7.699999999999973
122,16,4.5,-1.6,15,9.499999999999964
123,16,4.5,-1.7000000000000002,15,10.799999999999962
124,16,4.5,-1.8000000000000003,15,11.599999999999959
125,16,4.5,-1.9000000000000004,15,12.699999999999957
126,16,4.5,-2.0000000000000004,15,13.199999999999953
127,16,4.5,-2.1000000000000005,15,12.799999999999953
128,16,4.5,-2.2000000000000006,15,11.699999999999957
129,16,4.5,-2.3000000000000007,15,10.699999999999962
130,16,4.5,-2.400000000000001,15,9.799999999999965
131,16,4.5,-2.500000000000001,15,9.099999999999968
132,16,5.0,-1.5,15,7.699999999999974
133,16,5.0,-1.6,15,9.399999999999967
134,16,5.0,-1.7000000000000002,15,10.799999999999962
135,16,5.0,-1.8000000000000003,15,11.599999999999959
136,16,5.0,-1.9000000000000004,15,12.599999999999959
137,16,5.0,-2.0000000000000004,15,13.199999999999953
138,16,5.0,-2.1000000000000005,15,12.799999999999955
139,16,5.0,-2.2000000000000006,15,11.599999999999959
140,16,5.0,-2.3000000000000007,15,10.699999999999964
141,16,5.0,-2.400000000000001,15,9.799999999999965
142,16,5.0,-2.500000000000001,15,9.09999999999997
143,16,5.5,-1.5,15,6.499999999999979
144,16,5.5,-1.6,15,8.399999999999967
145,16,5.5,-1.7000000000000002,15,9.899999999999963
146,16,5.5,-1.8000000000000003,15,10.799999999999963
147,16,5.5,-1.9000000000000004,15,11.899999999999958
148,16,5.5,-2.0000000000000004,15,12.499999999999954
149,16,5.5,-2.1000000000000005,15,12.099999999999959
150,16,5.5,-2.2000000000000006,15,10.999999999999957
151,16,5.5,-2.3000000000000007,15,10.199999999999966
152,16,5.5,-2.400000000000001,15,9.299999999999969
153,16,5.5,-2.500000000000001,15,8.599999999999968
154,16,6.0,-1.5,15,4.2999999999999865
155,16,6.0,-1.6,15,6.499999999999975
156,16,6.0,-1.7000000000000002,15,8.19999999999997
157,16,6.0,-1.8000000000000003,15,9.199999999999967
158,16,6.0,-1.9000000000000004,15,10.499999999999964
159,16,6.0,-2.0000000000000004,15,11.099999999999959
160,16,6.0,-2.1000000000000005,15,10.899999999999963
161,16,6.0,-2.2000000000000006,15,9.999999999999964
162,16,6.0,-2.3000000000000007,15,9.099999999999966
163,16,6.0,-2.400000000000001,15,8.39999999999997
164,16,6.0,-2.500000000000001,15,7.699999999999974
